Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Mitthye Premer Gaan,Romantic Drama,"Aveek, a reclusive self-taught musician, falls in love with Anwesha, the pragmatic and boisterous daughter of a legendary classical musician. But abandonment issues, insecurities, and crippling uncertainties threaten to engulf their love as they embark on a journey of self-discovery.",U/A 13+,3,2023,Paroma Neotia,"Anirban Bhattacharya, Ishaa Saha, Arjun Chakrabarty, Soumya Mukherjee, Anusha Viswanathan","aveek, reclusive, self, taught, musician, falls, love, anwesha, pragmatic, boisterous, daughter, legendary, classical, musician, abandonment, issues, insecurities, crippling, uncertainties, threaten, engulf, love, embark, journey, self, discovery",,
Aynabaji,Crime Thriller,"Ayna, a struggling actor from Dhaka, becomes a professional imposter after he starts getting hired to impersonate real-life people for financial gain. As he delves deeper into this con life, the darker side of his work threatens to unveil his real identity.",U/A 13+,3,2016,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George, Brindaban Das","ayna, struggling, actor, dhaka, becomes, professional, imposter, starts, getting, hired, impersonate, real, life, people, financial, gain, delves, deeper, con, life, darker, side, work, threatens, unveil, real, identity",,
Dawshom Awbotaar,Crime Thriller,"When a serial killer terrorizes the people of Kolkata by mirroring the ten avatars of Vishnu in his killing methods, police officers Probir Roy Chowdhury and Bijoy Poddar immerse themselves in unravelling the killer and his motive. Watch the prequel crossover of the thrilling Baishe Srabon and Vinci Da.",A 18+,5,2023,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Jisshu Sengupta, Jaya Ahsan","when, serial, killer, terrorizes, people, kolkata, mirroring, ten, avatars, vishnu, killing, methods, police, officers, probir, roy, chowdhury, bijoy, poddar, immerse, themselves, unravelling, killer, motive, watch, prequel, crossover, thrilling, baishe, srabon, vinci, da",,
C/O Sir,Thriller,"Jayabrata Roy, a school teacher in Kurseong, becomes helpless when he loses his eyesight due to a sudden retinal disorder. Relying completely on the sense of hearing, what happens when he starts getting threat calls to vacate his property? ",U,1,2013,Kaushik Ganguly,"Saswata Chatterjee, Raima Sen, Indraneil Sengupta, Sudipta Chakraborty, Sabyasachi Chakrabarty","jayabrata, roy, school, teacher, kurseong, becomes, helpless, when, loses, eyesight, due, sudden, retinal, disorder, relying, completely, sense, hearing, what, happens, when, starts, getting, threat, calls, vacate, property",,
Podokkhep,Drama,"Shashanka, a retired bank employee, struggles to keep pace with the rapidly changing world. His daughter Megha oscillates between her duty towards her father, her career, and a complex love life. The arrival of a family next door breathes new life in to Shashanka's world and changes many dynamics.",U/A 7+,2,2006,Suman Ghosh,"Soumitra Chatterjee, Nandita Das, Sabitri Chatterjee, Tota Roy Choudhury","shashanka, retired, bank, employee, struggles, keep, pace, rapidly, changing, world, daughter, megha, oscillates, duty, towards, father, career, complex, love, life, arrival, family, next, door, breathes, new, life, shashanka, s, world, changes, many, dynamics",,
Peace Haven,Comedy Drama,"Three septuagenarian friends embark on a journey to build their very own mortuary after witnessing the cremation of another friend in his son's absence. In the process, they ironically rediscover the meaning of life itself!",U,1,2016,Suman Ghosh,"Soumitra Chatterjee, Paran Bandopadhyay, Arun Mukhopadhyay","three, septuagenarian, friends, embark, journey, build, very, own, mortuary, witnessing, cremation, another, friend, son, s, absence, process, ironically, rediscover, meaning, life, itself",,
Searching for Happiness,Drama,"Four-year-old Shahida goes missing and roams the streets of Kolkata, where she comes across different people searching for their own forms of happiness. But what does happiness mean to a four-year-old child?",U,1,2021,Suman Ghosh,"Sudipta Chakraborty, Arindam Ghosh, Shahida Neera","four, year, old, shahida, goes, missing, roams, streets, kolkata, where, comes, across, different, people, searching, own, forms, happiness, what, happiness, mean, four, year, old, child",,
"Shyamal Kaku, Corporation-er Bati, Ebong...",Drama,"Shyamal uncle, an eighty-year-old retiree, becomes frustrated after seeing the street lights near his house left on even during the day. One day, he decides to take action against this unconscionable waste of electricity.",U,1,2012,Suman Ghosh,"Shyamal Bhattacharya, Arindam Ghosh","shyamal, uncle, eighty, year, old, retiree, becomes, frustrated, seeing, street, lights, near, house, left, even, during, day, one, day, decides, take, action, against, unconscionable, waste, electricity",,
Bilu Rakkhosh,Fantasy Drama,"Bilu's life is torn between the contradiction of his fast-paced corporate career and familial obligations, and his passion for music becomes obscure. As his life gets squandered and unable to achieve equilibrium, his inner demon starts grasping his normal life.  ",A 18+,5,2017,Indrasis Acharya,"Joy Sengupta, Koneenica Banerjee, Deboprasad Haldar","bilu, s, life, torn, contradiction, fast, paced, corporate, career, familial, obligations, passion, music, becomes, obscure, life, gets, squandered, unable, achieve, equilibrium, inner, demon, starts, grasping, normal, life",,
Kakhono Megh,Mystery Drama,"When Narayan's stray uncle, who has been involved in the diamond smuggling business, gets killed, he starts fearing the unforeseen attack from the smuggling world. However, when he starts forming a bond with Seema, he tries to leave his cursed world behind. ",U,1,1968,Agradoot,"Uttam Kumar, Anjana Bhowmik, Kali Banerjee","when, narayan, s, stray, uncle, who, involved, diamond, smuggling, business, gets, killed, starts, fearing, unforeseen, attack, smuggling, world, however, when, starts, forming, bond, seema, tries, leave, cursed, world, behind",,
Barnali,Drama,"Ashesh, a wealthy medical professional, tries to set up his friend's wedding with Barnali. However, things changed when Ashesh falls in love with Barnali.",U,1,1963,Ajoy Kar,"Soumitra Chatterjee, Sharmila Tagore, Pahari Sanyal","ashesh, wealthy, medical, professional, tries, set, friend, s, wedding, barnali, however, things, changed, when, ashesh, falls, love, barnali",,
Cheeni 2,Drama,"Mishti, a housewife, is constantly ignored by her husband and children. And Cheeni is full of life and has big dreams. When the path between Mishti and Cheeni collides, they embark on a journey of self-discovery together.",U/A 7+,2,2023,Mainak Bhaumik,"Madhumita Sarcar, Aparajita Adhya, Soumya Mukherjee, Lily Chakravarty, Pinky Banerjee","mishti, housewife, constantly, ignored, husband, children, cheeni, full, life, big, dreams, when, path, mishti, cheeni, collides, embark, journey, self, discovery, together",,
Shibpur,Thriller Drama,A political journalist in Kolkata discovers the case of a notorious female mafia gang leader in suburban Shibpur going missing in the late 1990s. The journalist sets out to uncover if the gang leader got murdered by her rival gang members or was the victim of a nefarious political plot!,A 18+,5,2023,Arindam Bhattacharya,"Swastika Mukherjee, Parambrata Chatterjee, Susmita Chatterjee, Rajatava Dutta, Kharaj Mukherjee","political, journalist, kolkata, discovers, case, notorious, female, mafia, gang, leader, suburban, shibpur, going, missing, late, 1990s, journalist, sets, uncover, gang, leader, got, murdered, rival, gang, members, victim, nefarious, political, plot",,
Datta,Period Drama,"Based on Sarat Chandra Chattopadhyay's classic 'Datta', Banamali proposes his daughter Bijoya's hand to his childhood friend's son, Narendra. But, Bijoya is attracted to Bilaas and has always been skeptical about Narendra. However, when Bijoya meets Narendra, she starts liking his company. ",U,1,2023,Nirmal Chakravarty,"Rituparna Sengupta, Shaheb Chatterjee, Joy Sengupta, Biswajit Chakraborty, Devlina Kumar","based, sarat, chandra, chattopadhyay, s, classic, datta, banamali, proposes, daughter, bijoya, s, hand, childhood, friend, s, son, narendra, bijoya, attracted, bilaas, always, skeptical, narendra, however, when, bijoya, meets, narendra, starts, liking, company",,
Silpi (1956),Romance,"A tragic love story between Dhiman, who hails from a poor background, and Anjana, born with her father's fortune. As they decide to settle down together, the universe conspires against their union.  ",U,1,1956,Agragami,"Uttam Kumar, Suchitra Sen","tragic, love, story, dhiman, who, hails, poor, background, anjana, born, father, s, fortune, decide, settle, together, universe, conspires, against, union",,
Thana Thekey Aschi,Mystery Thriller,"Sub-inspector Tinkari Haldar ushered to the house of the industrialist Chandra Madhab Sen to enquire about the mysterious death of a woman, who is well-known to Chandra Madhab. As he digs deeper, the mystery starts to unfold. ",U,1,1965,Hiren Nag,"Uttam Kumar, Madhabi Mukherjee, Kamal Mitra","sub, inspector, tinkari, haldar, ushered, house, industrialist, chandra, madhab, sen, enquire, mysterious, death, woman, who, well, known, chandra, madhab, digs, deeper, mystery, starts, unfold",,
Sesh Anka (1963),Thriller,"When the widower Sudhangsu is about to get married, a woman claiming to be his first wife tries to stop the wedding. However, Sudhangsu believes this woman is an imposter because he believes his wife has committed suicide. ",U,1,1963,Haridas Bhattacharya,"Uttam Kumar, Sharmila Tagore, Bikash Roy","when, widower, sudhangsu, get, married, woman, claiming, first, wife, tries, stop, wedding, however, sudhangsu, believes, woman, imposter, because, believes, wife, committed, suicide",,
Ami Aadu,Drama,"In 2013, impoverished Suleman left for Iraq, hoping to earn a better living, leaving behind his wife, Aadu. But, when America suddenly invades Iraq, all communication between Suleman and Adu cuts off due to the war and political turmoil. Can Aadu overcome all obstacles to reunite with Suleman?",U,1,2011,Somnath Gupta,"Deblina Chatterjee, Samadarshi Dutta, Rudranil Ghosh","2013, impoverished, suleman, left, iraq, hoping, earn, better, living, leaving, behind, wife, aadu, when, america, suddenly, invades, iraq, all, communication, suleman, adu, cuts, due, war, political, turmoil, aadu, overcome, all, obstacles, reunite, suleman",,
Ebhabei Golpo Hok,Drama,"After a string of flops, Abhijit decides to do a romantic film. But, when he discovers that the story of his film closely resembles a novel, he becomes desperate to find the author. Will he get to meet the author? Will he be able to complete his film?",U,1,2020,Rohan Sen,"Joy Sengupta, Shantilal Mukherjee, Ananda Choudhury, Bibriti Chatterjee","string, flops, abhijit, decides, romantic, film, when, discovers, story, film, closely, resembles, novel, becomes, desperate, find, author, get, meet, author, able, complete, film",,
Marjiana Abdullah,Romantic Drama,"When Ali discovers a valuable treasure in the woods, he is chased by thieves who own the treasure. But, when Ali reaches out to Marjina and Abdullah for help to get out of this situation, will the problem be solved?",U,1,1973,Dinen Gupta,"Mithu Mukherjee, Santosh Dutta, Rabi Ghosh","when, ali, discovers, valuable, treasure, woods, chased, thieves, who, own, treasure, when, ali, reaches, marjina, abdullah, help, get, situation, problem, solved",,
Chattogram Astragar Lunthan,Historic,"Based on the story of freedom fighter Master Da Surya Sen and his students, the movie depicts the historic Chattogram armoury robbery and the subsequent revolution against the imperialist British rulers.",U,1,1949,Nirmal Chowdhury,"Dipti Roy, Banani Choudhury, Aparna Devi, Kalpana Roy","based, story, freedom, fighter, master, da, surya, sen, students, movie, depicts, historic, chattogram, armoury, robbery, subsequent, revolution, against, imperialist, british, rulers",,
Bhombal Sardar,Drama,"An orphan named Bhombal Sardar lives with his uncle, who beats him for every mischievous act. One day, he runs away from his abusive uncle and starts a new journey where many people cross his path.",U,1,1983,Nripen Ganguly,"Haradhan Bandopadhyay, Kamu Mukherjee, Tapati Bhattacharjee","orphan, named, bhombal, sardar, lives, uncle, who, beats, every, mischievous, act, one, day, runs, away, abusive, uncle, starts, new, journey, where, many, people, cross, path",,
Shyamali,Drama,"Shyamali, a hearing and speech-impaired woman, faces societal judgment and struggles in life. After marriage, when her husband starts supporting her, she faces further hurdles from her in-laws. ",U,1,1956,Ajoy Kar,"Uttam Kumar, Kaberi Bose, Anuva Gupta","shyamali, hearing, speech, impaired, woman, faces, societal, judgment, struggles, life, marriage, when, husband, starts, supporting, faces, further, hurdles, laws",,
Neel Akasher Neeche,Drama,"Set in the 1930s, the movie begins with a Chinese worker, Wang Lu, who develops a bond with Basanti, a member of a nationalist political group. When Basanti gets arrested, it drags Wang Lu into her political agenda.   ",U,1,1959,Mrinal Sen,"Kali Banerjee, Manju Dey, Smriti Biswas","set, 1930s, movie, begins, chinese, worker, wang, lu, who, develops, bond, basanti, member, nationalist, political, group, when, basanti, gets, arrested, drags, wang, lu, political, agenda",,
Bariwali,Drama,"When a lonely middle-aged woman allows a film production unit to shoot in her sprawling estate, she finds herself drawn to the film's director. However, when the shoot is over, things at the estate return to the same grinding tedium, making her feel her loneliness all the more acutely.",A 18+,5,2000,Rituparno Ghosh,"Kirron Kher, Roopa Ganguly, Chiranjeen Chakraborty, Sudipta Chakraborty","when, lonely, middle, aged, woman, allows, film, production, unit, shoot, sprawling, estate, finds, herself, drawn, film, s, director, however, when, shoot, things, estate, return, same, grinding, tedium, making, feel, loneliness, all, more, acutely",,
Bikaley Bhorer Phool,Romantic Drama,"Anish is a famous poet and brilliant student who studied abroad and wants to become a music scholar. However, one day, he escapes from his home to Digha to avoid repeated marriage proposals from home. But, in Digha, he gets attracted to a teenage girl.",U,1,1974,Pijush Bose,"Uttam Kumar, Sumitra Mukherjee, Utpal Dutt","anish, famous, poet, brilliant, student, who, studied, abroad, wants, become, music, scholar, however, one, day, escapes, home, digha, avoid, repeated, marriage, proposals, home, digha, gets, attracted, teenage, girl",,
Shunya Theke Shuru,Drama,"Bhismadev, a supporter of the Naxalite student movement, spent most of his life in jail. When he gets released, a lot has changed in society, and now has no family or friends to look forward.",U/A 7+,2,1996,Ashoke Viswanathan,"Dhritiman Chatterjee, Mamata Shankar, N. Viswanathan","bhismadev, supporter, naxalite, student, movement, spent, most, life, jail, when, gets, released, lot, changed, society, now, no, family, friends, look, forward",,
Biporjoy (2017),Thriller Drama,"Pratik, a young engineer, arrives in Suryanagar with a dam construction project to investigate his father's mysterious death. Soon he falls into the trap of some corrupt dealers, who get in the way of his work.",U/A 7+,2,2017,Sourav Chakraborty,"Indraneil Sengupta, Barkha Sengupta, Victor Banerjee","pratik, young, engineer, arrives, suryanagar, dam, construction, project, investigate, father, s, mysterious, death, soon, falls, trap, some, corrupt, dealers, who, get, way, work",,
Khancha,Drama,"When Samita rescues Parul, a village girl, with the help of Surajit, a journalist, from the threshold of human trafficking, their lives change forever. As Samita tries to provide shelter to Parun, she starts struggling with her own problems.",U,1,2013,Raja Sen,"Rituparna Sengupta, Ritwick Chakraborty, Parno Mittra","when, samita, rescues, parul, village, girl, help, surajit, journalist, threshold, human, trafficking, lives, change, forever, samita, tries, provide, shelter, parun, starts, struggling, own, problems",,
Nidhi Ram Sardar,Romance,"Nidhi Ram Sardar is a thief who steals from dishonest rich people and distributes the money to the poor. Meanwhile, Jamini, a young girl, the sole earning member of her family, suddenly faces some problems. Will she find a way to resolve her situation with the help of Nidhi Ram?",U,1,1976,Rabi Ghosh,"Uttam Kumar, Aparna Sen, Utpal Dutt","nidhi, ram, sardar, thief, who, steals, dishonest, rich, people, distributes, money, poor, meanwhile, jamini, young, girl, sole, earning, member, family, suddenly, faces, some, problems, find, way, resolve, situation, help, nidhi, ram",,
Khaniker Atithi,Drama,"A caring doctor suddenly gets attracted by a woman named Meeta, who comes for her son's treatment.",U,1,1959,Tapan Sinha,"Ruma Guha Thakurta, Nirmal Kumar, Chhabi Biswas","caring, doctor, suddenly, gets, attracted, woman, named, meeta, who, comes, son, s, treatment",,
Harmonium,Drama,"A widowed king buys her daughter a harmonium. However, soon after the king's death, the manager possesses their property, and the princess becomes homeless. Over time, whoever owns that harmonium, faces tragic incidents.",U,1,1976,Tapan Sinha,"Chhaya Devi, Arati Bhattacharya, Santosh Dutta","widowed, king, buys, daughter, harmonium, however, soon, king, s, death, manager, possesses, property, princess, becomes, homeless, time, whoever, owns, harmonium, faces, tragic, incidents",,
Grihayuddha,Drama,"The corrupt owner of a private steel factory has the trade union secretary killed. Bijan, the deceased's comrade and his impoverished sister Nirupama's beloved, absconds. Years later, a successful Bijan returns to find the gulf between himself and the idealistic Nirupama too wide to bridge!",U,1,1982,Buddhadeb Dasgupta,"Anjan Dutt, Mamata Shankar, Goutam Ghose","corrupt, owner, private, steel, factory, trade, union, secretary, killed, bijan, deceased, s, comrade, impoverished, sister, nirupama, s, beloved, absconds, years, later, successful, bijan, returns, find, gulf, himself, idealistic, nirupama, too, wide, bridge",,
Bohomaan,Drama,"The sudden interaction between former sweethearts, Salim and Madhuri, after five decades sparks old memories. Will this sudden encounter give them a chance to relive their past?",U/A 13+ ,3,2019,Anumita Dasgupta,"Soumitra Chatterjee, Aparna Sen, Bratya Basu, Arpita Chatterjee","sudden, interaction, former, sweethearts, salim, madhuri, five, decades, sparks, old, memories, sudden, encounter, give, chance, relive, past",,
Abar Bibaho Obhijaan,Comedy,"When a fellow prisoner gifts Bullet Singh property worth 100 crores in Bangkok, he reunites with Anupam and Rajat to give them half of it. But it's only after landing in Bangkok that they realise it's a hoax. Can the trio save themselves from this trap?",U,1,2023,Soumik Haldar,"Ankush Hazra, Rudranil Ghosh, Anirban Bhattacharya, Sohini Sarkar, Nusraat Faria, Priyanka Sarkar","when, fellow, prisoner, gifts, bullet, singh, property, worth, 100, crores, bangkok, reunites, anupam, rajat, give, half, s, only, landing, bangkok, realise, s, hoax, trio, save, themselves, trap",,
The Eken: Ruddhaswas Rajasthan,Comedy,Eken finds himself embroiled in an antique smuggling mystery while vacationing in Rajasthan with Bapi and Pramatha. What happens when the situation gets out of hand after finding fake artefacts at the Jaisalmer Museum?,U/A 7+,2,2023,Joydip Mukherjee,"Anirban Chakrabarti, Suhotra Mukhopadhyay, Somak Ghosh, Sandipta Sen, Rajatava Dutta, Rajesh Sharma","eken, finds, himself, embroiled, antique, smuggling, mystery, vacationing, rajasthan, bapi, pramatha, what, happens, when, situation, gets, hand, finding, fake, artefacts, jaisalmer, museum",,
Sonar Kella,Mystery,"Mukul, a 6-year old boy, claims to remember his past life when he lived in a golden fortress and becomes a target for crooks looking to make a fortune. The little boy travels to Rajasthan in search of his elusive past home. Feluda and Topshe travel there to bring the boy back home safely.",U,1,1974,Satyajit Ray,"Soumitra Chatterjee, Santosh Dutta, Siddhartha Chatterjee, Kushal Chakraborty, Kamu Mukherjee, Ajoy Banerjee","mukul, 6, year, old, boy, claims, remember, past, life, when, lived, golden, fortress, becomes, target, crooks, looking, make, fortune, little, boy, travels, rajasthan, search, elusive, past, home, feluda, topshe, travel, there, bring, boy, back, home, safely",,
Bird of Dusk,Documentary,"This docu-feature draws upon the life and works of Rituparno Ghosh, a larger-than-life cultural icon who influenced not only art in Bengal but also pushed the boundaries of queer politics, sexual identity and freedom of expression in India. ",U,1,2018,Sangeeta Datta,"Ranjan Bose, Soumitra Chatterjee, Aparna Sen, Sharmila Tagore, Konkona Sen Sharma, Prosenjit Chatterjee, Jisshu Sengupta, Nandita Das, Arjun Rampal, Dorrothy Wenner, Kaushik Ganguly","docu, feature, draws, upon, life, works, rituparno, ghosh, larger, than, life, cultural, icon, who, influenced, not, only, art, bengal, also, pushed, boundaries, queer, politics, sexual, identity, freedom, expression, india",,
Jhilli,Drama,"When most of his friends leave him behind in the debris of discards, Bokul decides to break the boundary to experience the outer world but soon falls on the pedestal of a sudden economic boom.",A 18+,5,2022,Ishaan Ghose,"Aranya Gupta, Bitan Biswas, Sombhunath De, Sayandeep Guha, Sourav Nayak","when, most, friends, leave, behind, debris, discards, bokul, decides, break, boundary, experience, outer, world, soon, falls, pedestal, sudden, economic, boom",,
Dilkhush,Romantic Drama,"In this age of hookup, breakup and makeup, what happens when four happy couples find out that the dating app that has matched them with each other has messed things up and done a mismatch?",U/A 13+,3,2023,Rahool Mukherjee,"Madhumita Sarcar, Soham Majumdar, Kharaj Mukherjee, Aparajita Adhya, Paran Bandopadhyay, Anashua Majumdar, Aishwaria Sen, Ujan Chatterjee","age, hookup, breakup, makeup, what, happens, when, four, happy, couples, find, dating, app, matched, each, other, messed, things, done, mismatch",,
Window Connection,Psychological Thriller,"When a woman catches her disturbed teenage neighbour stalking her, she doesn't report his actions and befriends him to understand his psyche. However, things take a violent turn when the boy gets to know about the woman's life plans. ",A 18+,5,2014,Raj Kumar Gupta,"Aryann Bhowmick, Tnusree Chakraborty, Rajat Ganguly","when, woman, catches, disturbed, teenage, neighbour, stalking, doesn, t, report, actions, befriends, understand, psyche, however, things, take, violent, turn, when, boy, gets, know, woman, s, life, plans",,
Ballabhpurer Roopkotha,Horror Comedy,"King Bhupati Ray of Ballabhpur is almost bankrupt. He plans to sell off his 400-year-old, dilapidated ancestral mansion to repay his debts. But the cursed ghost of an ancestor decides to play spoilsport when a potential buyer arrives! ",U,1,2022,Anirban Bhattacharya,"Satyam Bhattacharya, Surangana Bandyopadhyay, Shyamal Chakraborty, Debraj Bhattacharya, Sandip Bhattacharya, Jhulan Bhattacharya","king, bhupati, ray, ballabhpur, almost, bankrupt, plans, sell, 400, year, old, dilapidated, ancestral, mansion, repay, debts, cursed, ghost, ancestor, decides, play, spoilsport, when, potential, buyer, arrives",,
Karnasubarner Guptodhon,Adventure,"Sona Da, Abir and Jhinuk come across a riddle that turns their vacation into a dangerous quest for the hidden treasure of King Shashanka, one of the best-kept secrets of Bengal. Watch the biggest blockbuster of 2022 only on hoichoi.",U,1,2022,Dhrubo Banerjee,"Abir Chatterjee, Ishaa Saha, Arjun Chakraborty, Rajatava Dutta, Saurav Das","sona, da, abir, jhinuk, come, across, riddle, turns, vacation, dangerous, quest, hidden, treasure, king, shashanka, one, best, kept, secrets, bengal, watch, biggest, blockbuster, 2022, only, hoichoi",,
Byomkesh Hotyamancha,Murder Mystery,Byomkesh becomes witness to a murder on the centre stage when he attends a play at the theatre. And thus starts his quest for the truth behind the death in 70s Calcutta struggling with the Naxal movement.,U/A 16+,4,2022,Arindam Sil,"Abir Chatterjee, Sohini Sarkar, Paoli Dam, Suhotra Mukhopadhyay, Kinjal Nanda, Arna Mukhopadhyay","byomkesh, becomes, witness, murder, centre, stage, when, attends, play, theatre, thus, starts, quest, truth, behind, death, 70s, calcutta, struggling, naxal, movement",,
Belashuru,Drama,"Biswanath is Arati's guiding light in her struggle with advanced Alzheimer's. Seven years after Belaseshe, Soumitra Chatterjee and Swatilekha Sengupta come together for the last time in this tale of love, marriage and companionship.",U,1,2022,"Nandita Roy, Shiboprosad Mukherjee","Soumitra Chatterjee, Swatilekha Sengupta, Rituparna Sengupta, Shankar Chakraborty, Aparajita Adhya, Monami Ghosh","biswanath, arati, s, guiding, light, struggle, advanced, alzheimer, s, seven, years, belaseshe, soumitra, chatterjee, swatilekha, sengupta, come, together, last, time, tale, love, marriage, companionship",,
Pendulum,"Neo Noir, Thriller",This time travel drama imagines an incident in three different time frames where several lives are interrelated with each other. ,U/A 13+,3,2014,Soukarya Ghosal,"Radhika Apte, Samadarshi Dutta, Rajatabha Dutta, Rajesh Sharma","time, travel, drama, imagines, incident, three, different, time, frames, where, several, lives, interrelated, each, other",,
Durga Sohay,Drama,"When Durga is caught stealing at the ancestral house of the aristocratic Basak family, Manasi, the younger Basak daughter-in-law, gives the former a chance to redeem herself. Will Durga start her life afresh, or will her dark past catch up with her?",U/A 13+,3,2017,Arindam Sil,"Sohini Sarkar, Tnusree Chakraborty, Kaushik Sen, Indrasish Roy","when, durga, caught, stealing, ancestral, house, aristocratic, basak, family, manasi, younger, basak, daughter, law, gives, former, chance, redeem, herself, durga, start, life, afresh, dark, past, catch",,
