Content Type,Name,Primary Genre,Secondary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,Runtime (minutes),keywords2,keywords3,keywords4
Movie,Mitthye Premer Gaan,Romantic,Drama,"Aveek, a reclusive self-taught musician, falls in love with Anwesha, the pragmatic and boisterous daughter of a legendary classical musician. But abandonment issues, insecurities, and crippling uncertainties threaten to engulf their love as they embark on a journey of self-discovery.",U/A 13+,3,2023,Dhrubo Banerjee,"Kharaj Mukherjee, Riddhi Sen, Rajatava Dutta, Aparajita Adhya, Ditipriya Roy",145,"Aveek, reclusive self-taught musician, falls","Aveek, reclusive self-taught","Aveek,, reclusive, self-taught, musician,, falls, love, Anwesha,, pragmatic, boisterous, daughter, legendary, classical, musician., abandonment, issues,, insecurities,, crippling, uncertainties, threaten, engulf, love, embark, journey, self-discovery."
Movie,Aynabaji,Crime,Thriller,"Ayna, a struggling actor from Dhaka, becomes a professional imposter after he starts getting hired to impersonate real-life people for financial gain. As he delves deeper into this con life, the darker side of his work threatens to unveil his real identity.",U/A 13+,3,2023,"Nandita Roy, Shiboprosad Mukherjee","Victor Bannerjee, Abir Chatterjee, Mimi Chakraborty, Anashua Majumdar, Satyam Bhattacharya, Devlina Kumar",140,"Ayna, struggling actor Dhaka, professional","Ayna, struggling actor","Ayna,, struggling, actor, Dhaka,, professional, imposter, starts, getting, hired, impersonate, real-life, people, financial, gain., delves, deeper, life,, darker, work, threatens, unveil, real, identity."
Movie,Dawshom Awbotaar,Crime,Thriller,"When a serial killer terrorizes the people of Kolkata by mirroring the ten avatars of Vishnu in his killing methods, police officers Probir Roy Chowdhury and Bijoy Poddar immerse themselves in unravelling the killer and his motive. Watch the prequel crossover of the thrilling Baishe Srabon and Vinci Da.",A 18+,5,2023,Paroma Neotia,"Anirban Bhattacharya, Ishaa Saha, Arjun Chakrabarty, Soumya Mukherjee, Anusha Viswanathan",146,serial killer terrorizes people Kolkata,serial killer terrorizes,"serial, killer, terrorizes, people, Kolkata, mirroring, avatars, Vishnu, killing, methods,, police, officers, Probir, Roy, Chowdhury, Bijoy, Poddar, immerse, unravelling, killer, motive., Watch, prequel, crossover, thrilling, Baishe, Srabon, Vinci, Da."
Movie,C/O Sir,Thriller,,"Jayabrata Roy, a school teacher in Kurseong, becomes helpless when he loses his eyesight due to a sudden retinal disorder. Relying completely on the sense of hearing, what happens when he starts getting threat calls to vacate his property? ",U,1,2016,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George, Brindaban Das",147,"Jayabrata Roy, school teacher Kurseong,","Jayabrata Roy, school","Jayabrata, Roy,, school, teacher, Kurseong,, helpless, loses, eyesight, sudden, retinal, disorder., Relying, completely, sense, hearing,, happens, starts, getting, threat, calls, vacate, property?"
Movie,Podokkhep,Drama,,"Shashanka, a retired bank employee, struggles to keep pace with the rapidly changing world. His daughter Megha oscillates between her duty towards her father, her career, and a complex love life. The arrival of a family next door breathes new life in to Shashanka's world and changes many dynamics.",U/A 7+,2,2023,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Jisshu Sengupta, Jaya Ahsan",152,"Shashanka, retired bank employee, struggles","Shashanka, retired bank","Shashanka,, retired, bank, employee,, struggles, pace, rapidly, changing, world., daughter, Megha, oscillates, duty, father,, career,, complex, love, life., arrival, family, door, breathes, new, life, Shashanka's, world, changes, dynamics."
Movie,Peace Haven,Comedy,Drama,"Three septuagenarian friends embark on a journey to build their very own mortuary after witnessing the cremation of another friend in his son's absence. In the process, they ironically rediscover the meaning of life itself!",U,1,2013,Kaushik Ganguly,"Saswata Chatterjee, Raima Sen, Indraneil Sengupta, Sudipta Chakraborty, Sabyasachi Chakrabarty",124,septuagenarian friends embark journey build,septuagenarian friends embark,"septuagenarian, friends, embark, journey, build, mortuary, witnessing, cremation, friend, son's, absence., process,, ironically, rediscover, meaning, life, itself!"
Movie,Searching for Happiness,Drama,,"Four-year-old Shahida goes missing and roams the streets of Kolkata, where she comes across different people searching for their own forms of happiness. But what does happiness mean to a four-year-old child?",U,1,2006,Suman Ghosh,"Soumitra Chatterjee, Nandita Das, Sabitri Chatterjee, Tota Roy Choudhury",92,Four-year-old Shahida goes missing roams,Four-year-old Shahida goes,"Four-year-old, Shahida, goes, missing, roams, streets, Kolkata,, comes, different, people, searching, forms, happiness., does, happiness, mean, four-year-old, child?"
Movie,"Shyamal Kaku, Corporation-er Bati, Ebong...",Drama,,"Shyamal uncle, an eighty-year-old retiree, becomes frustrated after seeing the street lights near his house left on even during the day. One day, he decides to take action against this unconscionable waste of electricity.",U,1,2016,Suman Ghosh,"Soumitra Chatterjee, Paran Bandopadhyay, Arun Mukhopadhyay",73,"Shyamal uncle, eighty-year-old retiree, frustrated","Shyamal uncle, eighty-year-old","Shyamal, uncle,, eighty-year-old, retiree,, frustrated, seeing, street, lights, near, house, left, day., day,, decides, action, unconscionable, waste, electricity."
Movie,Bilu Rakkhosh,Fantasy,Drama,"Bilu's life is torn between the contradiction of his fast-paced corporate career and familial obligations, and his passion for music becomes obscure. As his life gets squandered and unable to achieve equilibrium, his inner demon starts grasping his normal life.  ",A 18+,5,2021,Suman Ghosh,"Sudipta Chakraborty, Arindam Ghosh, Shahida Neera",62,Bilu's life torn contradiction fast-paced,Bilu's life torn,"Bilu's, life, torn, contradiction, fast-paced, corporate, career, familial, obligations,, passion, music, obscure., life, gets, squandered, unable, achieve, equilibrium,, inner, demon, starts, grasping, normal, life."
Movie,Kakhono Megh,Mystery,Drama,"When Narayan's stray uncle, who has been involved in the diamond smuggling business, gets killed, he starts fearing the unforeseen attack from the smuggling world. However, when he starts forming a bond with Seema, he tries to leave his cursed world behind. ",U,1,2012,Suman Ghosh,"Shyamal Bhattacharya, Arindam Ghosh",64,"Narayan's stray uncle, involved diamond","Narayan's stray uncle,","Narayan's, stray, uncle,, involved, diamond, smuggling, business,, gets, killed,, starts, fearing, unforeseen, attack, smuggling, world., However,, starts, forming, bond, Seema,, tries, leave, cursed, world, behind."
Movie,Barnali,Drama,,"Ashesh, a wealthy medical professional, tries to set up his friend's wedding with Barnali. However, things changed when Ashesh falls in love with Barnali.",U,1,2017,Indrasis Acharya,"Joy Sengupta, Koneenica Banerjee, Deboprasad Haldar",121,"Ashesh, wealthy medical professional, tries","Ashesh, wealthy medical","Ashesh,, wealthy, medical, professional,, tries, set, friend's, wedding, Barnali., However,, things, changed, Ashesh, falls, love, Barnali."
Movie,Cheeni 2,Drama,,"Mishti, a housewife, is constantly ignored by her husband and children. And Cheeni is full of life and has big dreams. When the path between Mishti and Cheeni collides, they embark on a journey of self-discovery together.",U/A 7+,2,1968,Agradoot,"Uttam Kumar, Anjana Bhowmik, Kali Banerjee",118,"Mishti, housewife, constantly ignored husband","Mishti, housewife, constantly","Mishti,, housewife,, constantly, ignored, husband, children., Cheeni, life, big, dreams., path, Mishti, Cheeni, collides,, embark, journey, self-discovery, together."
Movie,Shibpur,Thriller,Drama,A political journalist in Kolkata discovers the case of a notorious female mafia gang leader in suburban Shibpur going missing in the late 1990s. The journalist sets out to uncover if the gang leader got murdered by her rival gang members or was the victim of a nefarious political plot!,A 18+,5,1963,Ajoy Kar,"Soumitra Chatterjee, Sharmila Tagore, Pahari Sanyal",95,political journalist Kolkata discovers case,political journalist Kolkata,"political, journalist, Kolkata, discovers, case, notorious, female, mafia, gang, leader, suburban, Shibpur, going, missing, late, 1990s., journalist, sets, uncover, gang, leader, got, murdered, rival, gang, members, victim, nefarious, political, plot!"
Movie,Datta,Period,Drama,"Based on Sarat Chandra Chattopadhyay's classic 'Datta', Banamali proposes his daughter Bijoya's hand to his childhood friend's son, Narendra. But, Bijoya is attracted to Bilaas and has always been skeptical about Narendra. However, when Bijoya meets Narendra, she starts liking his company. ",U,1,2023,Mainak Bhaumik,"Madhumita Sarcar, Aparajita Adhya, Soumya Mukherjee, Lily Chakravarty, Pinky Banerjee",123,Based Sarat Chandra Chattopadhyay's classic,Based Sarat Chandra,"Based, Sarat, Chandra, Chattopadhyay's, classic, 'Datta',, Banamali, proposes, daughter, Bijoya's, hand, childhood, friend's, son,, Narendra., But,, Bijoya, attracted, Bilaas, skeptical, Narendra., However,, Bijoya, meets, Narendra,, starts, liking, company."
Movie,Silpi (1956),Romance,,"A tragic love story between Dhiman, who hails from a poor background, and Anjana, born with her father's fortune. As they decide to settle down together, the universe conspires against their union.  ",U,1,2023,Arindam Bhattacharya,"Swastika Mukherjee, Parambrata Chatterjee, Susmita Chatterjee, Rajatava Dutta, Kharaj Mukherjee",125,"tragic love story Dhiman, hails",tragic love story,"tragic, love, story, Dhiman,, hails, poor, background,, Anjana,, born, father's, fortune., decide, settle, together,, universe, conspires, union."
Movie,Thana Thekey Aschi,Mystery,Thriller,"Sub-inspector Tinkari Haldar ushered to the house of the industrialist Chandra Madhab Sen to enquire about the mysterious death of a woman, who is well-known to Chandra Madhab. As he digs deeper, the mystery starts to unfold. ",U,1,2023,Nirmal Chakravarty,"Rituparna Sengupta, Shaheb Chatterjee, Joy Sengupta, Biswajit Chakraborty, Devlina Kumar",134,Sub-inspector Tinkari Haldar ushered house,Sub-inspector Tinkari Haldar,"Sub-inspector, Tinkari, Haldar, ushered, house, industrialist, Chandra, Madhab, Sen, enquire, mysterious, death, woman,, well-known, Chandra, Madhab., digs, deeper,, mystery, starts, unfold."
Movie,Sesh Anka (1963),Thriller,,"When the widower Sudhangsu is about to get married, a woman claiming to be his first wife tries to stop the wedding. However, Sudhangsu believes this woman is an imposter because he believes his wife has committed suicide. ",U,1,1956,Agragami,"Uttam Kumar, Suchitra Sen",120,"widower Sudhangsu married, woman claiming","widower Sudhangsu married,","widower, Sudhangsu, married,, woman, claiming, wife, tries, stop, wedding., However,, Sudhangsu, believes, woman, imposter, believes, wife, committed, suicide."
Movie,Ami Aadu,Drama,,"In 2013, impoverished Suleman left for Iraq, hoping to earn a better living, leaving behind his wife, Aadu. But, when America suddenly invades Iraq, all communication between Suleman and Adu cuts off due to the war and political turmoil. Can Aadu overcome all obstacles to reunite with Suleman?",U,1,1965,Hiren Nag,"Uttam Kumar, Madhabi Mukherjee, Kamal Mitra",98,"2013, impoverished Suleman left Iraq,","2013, impoverished Suleman","2013,, impoverished, Suleman, left, Iraq,, hoping, earn, better, living,, leaving, wife,, Aadu., But,, America, suddenly, invades, Iraq,, communication, Suleman, Adu, cuts, war, political, turmoil., Aadu, overcome, obstacles, reunite, Suleman?"
Movie,Ebhabei Golpo Hok,Drama,,"After a string of flops, Abhijit decides to do a romantic film. But, when he discovers that the story of his film closely resembles a novel, he becomes desperate to find the author. Will he get to meet the author? Will he be able to complete his film?",U,1,1963,Haridas Bhattacharya,"Uttam Kumar, Sharmila Tagore, Bikash Roy",126,"string flops, Abhijit decides romantic","string flops, Abhijit","string, flops,, Abhijit, decides, romantic, film., But,, discovers, story, film, closely, resembles, novel,, desperate, author., meet, author?, able, complete, film?"
Movie,Marjiana Abdullah,Romantic,Drama,"When Ali discovers a valuable treasure in the woods, he is chased by thieves who own the treasure. But, when Ali reaches out to Marjina and Abdullah for help to get out of this situation, will the problem be solved?",U,1,2011,Somnath Gupta,"Deblina Chatterjee, Samadarshi Dutta, Rudranil Ghosh",117,"Ali discovers valuable treasure woods,",Ali discovers valuable,"Ali, discovers, valuable, treasure, woods,, chased, thieves, treasure., But,, Ali, reaches, Marjina, Abdullah, help, situation,, problem, solved?"
Movie,Chattogram Astragar Lunthan,Historic,,"Based on the story of freedom fighter Master Da Surya Sen and his students, the movie depicts the historic Chattogram armoury robbery and the subsequent revolution against the imperialist British rulers.",U,1,2020,Rohan Sen,"Joy Sengupta, Shantilal Mukherjee, Ananda Choudhury, Bibriti Chatterjee",113,Based story freedom fighter Master,Based story freedom,"Based, story, freedom, fighter, Master, Da, Surya, Sen, students,, movie, depicts, historic, Chattogram, armoury, robbery, subsequent, revolution, imperialist, British, rulers."
Movie,Bhombal Sardar,Drama,,"An orphan named Bhombal Sardar lives with his uncle, who beats him for every mischievous act. One day, he runs away from his abusive uncle and starts a new journey where many people cross his path.",U,1,1973,Dinen Gupta,"Mithu Mukherjee, Santosh Dutta, Rabi Ghosh",131,orphan named Bhombal Sardar lives,orphan named Bhombal,"orphan, named, Bhombal, Sardar, lives, uncle,, beats, mischievous, act., day,, runs, away, abusive, uncle, starts, new, journey, people, cross, path."
Movie,Shyamali,Drama,,"Shyamali, a hearing and speech-impaired woman, faces societal judgment and struggles in life. After marriage, when her husband starts supporting her, she faces further hurdles from her in-laws. ",U,1,1949,Nirmal Chowdhury,"Dipti Roy, Banani Choudhury, Aparna Devi, Kalpana Roy",128,"Shyamali, hearing speech-impaired woman, faces","Shyamali, hearing speech-impaired","Shyamali,, hearing, speech-impaired, woman,, faces, societal, judgment, struggles, life., marriage,, husband, starts, supporting, her,, faces, hurdles, in-laws."
Movie,Neel Akasher Neeche,Drama,,"Set in the 1930s, the movie begins with a Chinese worker, Wang Lu, who develops a bond with Basanti, a member of a nationalist political group. When Basanti gets arrested, it drags Wang Lu into her political agenda.   ",U,1,1983,Nripen Ganguly,"Haradhan Bandopadhyay, Kamu Mukherjee, Tapati Bhattacharjee",69,"Set 1930s, movie begins Chinese","Set 1930s, movie","Set, 1930s,, movie, begins, Chinese, worker,, Wang, Lu,, develops, bond, Basanti,, member, nationalist, political, group., Basanti, gets, arrested,, drags, Wang, Lu, political, agenda."
Movie,Bariwali,Drama,,"When a lonely middle-aged woman allows a film production unit to shoot in her sprawling estate, she finds herself drawn to the film's director. However, when the shoot is over, things at the estate return to the same grinding tedium, making her feel her loneliness all the more acutely.",A 18+,5,1956,Ajoy Kar,"Uttam Kumar, Kaberi Bose, Anuva Gupta",122,lonely middle-aged woman allows film,lonely middle-aged woman,"lonely, middle-aged, woman, allows, film, production, unit, shoot, sprawling, estate,, finds, drawn, film's, director., However,, shoot, over,, things, estate, return, grinding, tedium,, making, feel, loneliness, acutely."
Movie,Bikaley Bhorer Phool,Romantic,Drama,"Anish is a famous poet and brilliant student who studied abroad and wants to become a music scholar. However, one day, he escapes from his home to Digha to avoid repeated marriage proposals from home. But, in Digha, he gets attracted to a teenage girl.",U,1,1959,Mrinal Sen,"Kali Banerjee, Manju Dey, Smriti Biswas",110,Anish famous poet brilliant student,Anish famous poet,"Anish, famous, poet, brilliant, student, studied, abroad, wants, music, scholar., However,, day,, escapes, home, Digha, avoid, repeated, marriage, proposals, home., But,, Digha,, gets, attracted, teenage, girl."
Movie,Shunya Theke Shuru,Drama,,"Bhismadev, a supporter of the Naxalite student movement, spent most of his life in jail. When he gets released, a lot has changed in society, and now has no family or friends to look forward.",U/A 7+,2,2000,Rituparno Ghosh,"Kirron Kher, Roopa Ganguly, Chiranjeen Chakraborty, Sudipta Chakraborty",144,"Bhismadev, supporter Naxalite student movement,","Bhismadev, supporter Naxalite","Bhismadev,, supporter, Naxalite, student, movement,, spent, life, jail., gets, released,, lot, changed, society,, family, friends, look, forward."
Movie,Biporjoy (2017),Thriller,Drama,"Pratik, a young engineer, arrives in Suryanagar with a dam construction project to investigate his father's mysterious death. Soon he falls into the trap of some corrupt dealers, who get in the way of his work.",U/A 7+,2,1974,Pijush Bose,"Uttam Kumar, Sumitra Mukherjee, Utpal Dutt",97,"Pratik, young engineer, arrives Suryanagar","Pratik, young engineer,","Pratik,, young, engineer,, arrives, Suryanagar, dam, construction, project, investigate, father's, mysterious, death., Soon, falls, trap, corrupt, dealers,, way, work."
Movie,Khancha,Drama,,"When Samita rescues Parul, a village girl, with the help of Surajit, a journalist, from the threshold of human trafficking, their lives change forever. As Samita tries to provide shelter to Parun, she starts struggling with her own problems.",U,1,1996,Ashoke Viswanathan,"Dhritiman Chatterjee, Mamata Shankar, N. Viswanathan",120,"Samita rescues Parul, village girl,","Samita rescues Parul,","Samita, rescues, Parul,, village, girl,, help, Surajit,, journalist,, threshold, human, trafficking,, lives, change, forever., Samita, tries, provide, shelter, Parun,, starts, struggling, problems."
Movie,Nidhi Ram Sardar,Romance,,"Nidhi Ram Sardar is a thief who steals from dishonest rich people and distributes the money to the poor. Meanwhile, Jamini, a young girl, the sole earning member of her family, suddenly faces some problems. Will she find a way to resolve her situation with the help of Nidhi Ram?",U,1,2017,Sourav Chakraborty,"Indraneil Sengupta, Barkha Sengupta, Victor Banerjee",121,Nidhi Ram Sardar thief steals,Nidhi Ram Sardar,"Nidhi, Ram, Sardar, thief, steals, dishonest, rich, people, distributes, money, poor., Meanwhile,, Jamini,, young, girl,, sole, earning, member, family,, suddenly, faces, problems., way, resolve, situation, help, Nidhi, Ram?"
Movie,Khaniker Atithi,Drama,,"A caring doctor suddenly gets attracted by a woman named Meeta, who comes for her son's treatment.",U,1,2013,Raja Sen,"Rituparna Sengupta, Ritwick Chakraborty, Parno Mittra",145,caring doctor suddenly gets attracted,caring doctor suddenly,"caring, doctor, suddenly, gets, attracted, woman, named, Meeta,, comes, son's, treatment."
Movie,Harmonium,Drama,,"A widowed king buys her daughter a harmonium. However, soon after the king's death, the manager possesses their property, and the princess becomes homeless. Over time, whoever owns that harmonium, faces tragic incidents.",U,1,1976,Rabi Ghosh,"Uttam Kumar, Aparna Sen, Utpal Dutt",114,widowed king buys daughter harmonium.,widowed king buys,"widowed, king, buys, daughter, harmonium., However,, soon, king's, death,, manager, possesses, property,, princess, homeless., time,, owns, harmonium,, faces, tragic, incidents."
Movie,Grihayuddha,Drama,,"The corrupt owner of a private steel factory has the trade union secretary killed. Bijan, the deceased's comrade and his impoverished sister Nirupama's beloved, absconds. Years later, a successful Bijan returns to find the gulf between himself and the idealistic Nirupama too wide to bridge!",U,1,1959,Tapan Sinha,"Ruma Guha Thakurta, Nirmal Kumar, Chhabi Biswas",112,corrupt owner private steel factory,corrupt owner private,"corrupt, owner, private, steel, factory, trade, union, secretary, killed., Bijan,, deceased's, comrade, impoverished, sister, Nirupama's, beloved,, absconds., Years, later,, successful, Bijan, returns, gulf, idealistic, Nirupama, wide, bridge!"
Movie,Bohomaan,Drama,,"The sudden interaction between former sweethearts, Salim and Madhuri, after five decades sparks old memories. Will this sudden encounter give them a chance to relive their past?",U/A 13+ ,3,1976,Tapan Sinha,"Chhaya Devi, Arati Bhattacharya, Santosh Dutta",111,"sudden interaction sweethearts, Salim Madhuri,","sudden interaction sweethearts,","sudden, interaction, sweethearts,, Salim, Madhuri,, decades, sparks, old, memories., sudden, encounter, chance, relive, past?"
Movie,Abar Bibaho Obhijaan,Comedy,,"When a fellow prisoner gifts Bullet Singh property worth 100 crores in Bangkok, he reunites with Anupam and Rajat to give them half of it. But it's only after landing in Bangkok that they realise it's a hoax. Can the trio save themselves from this trap?",U,1,1982,Buddhadeb Dasgupta,"Anjan Dutt, Mamata Shankar, Goutam Ghose",92,fellow prisoner gifts Bullet Singh,fellow prisoner gifts,"fellow, prisoner, gifts, Bullet, Singh, property, worth, 100, crores, Bangkok,, reunites, Anupam, Rajat, half, it., it's, landing, Bangkok, realise, it's, hoax., trio, save, trap?"
Movie,The Eken: Ruddhaswas Rajasthan,Comedy,,Eken finds himself embroiled in an antique smuggling mystery while vacationing in Rajasthan with Bapi and Pramatha. What happens when the situation gets out of hand after finding fake artefacts at the Jaisalmer Museum?,U/A 7+,2,2019,Anumita Dasgupta,"Soumitra Chatterjee, Aparna Sen, Bratya Basu, Arpita Chatterjee",102,Eken finds embroiled antique smuggling,Eken finds embroiled,"Eken, finds, embroiled, antique, smuggling, mystery, vacationing, Rajasthan, Bapi, Pramatha., happens, situation, gets, hand, finding, fake, artefacts, Jaisalmer, Museum?"
Movie,Sonar Kella,Mystery,,"Mukul, a 6-year old boy, claims to remember his past life when he lived in a golden fortress and becomes a target for crooks looking to make a fortune. The little boy travels to Rajasthan in search of his elusive past home. Feluda and Topshe travel there to bring the boy back home safely.",U,1,2023,Soumik Haldar,"Ankush Hazra, Rudranil Ghosh, Anirban Bhattacharya, Sohini Sarkar, Nusraat Faria, Priyanka Sarkar",117,"Mukul, 6-year old boy, claims","Mukul, 6-year old","Mukul,, 6-year, old, boy,, claims, remember, past, life, lived, golden, fortress, target, crooks, looking, make, fortune., little, boy, travels, Rajasthan, search, elusive, past, home., Feluda, Topshe, travel, bring, boy, home, safely."
Movie,Bird of Dusk,Documentary,,"This docu-feature draws upon the life and works of Rituparno Ghosh, a larger-than-life cultural icon who influenced not only art in Bengal but also pushed the boundaries of queer politics, sexual identity and freedom of expression in India. ",U,1,2023,Joydip Mukherjee,"Anirban Chakrabarti, Suhotra Mukhopadhyay, Somak Ghosh, Sandipta Sen, Rajatava Dutta, Rajesh Sharma",119,docu-feature draws life works Rituparno,docu-feature draws life,"docu-feature, draws, life, works, Rituparno, Ghosh,, larger-than-life, cultural, icon, influenced, art, Bengal, pushed, boundaries, queer, politics,, sexual, identity, freedom, expression, India."
Movie,Jhilli,Drama,,"When most of his friends leave him behind in the debris of discards, Bokul decides to break the boundary to experience the outer world but soon falls on the pedestal of a sudden economic boom.",A 18+,5,1974,Satyajit Ray,"Soumitra Chatterjee, Santosh Dutta, Siddhartha Chatterjee, Kushal Chakraborty, Kamu Mukherjee, Ajoy Banerjee",136,"friends leave debris discards, Bokul",friends leave debris,"friends, leave, debris, discards,, Bokul, decides, break, boundary, experience, outer, world, soon, falls, pedestal, sudden, economic, boom."
Movie,Dilkhush,Romantic,Drama,"In this age of hookup, breakup and makeup, what happens when four happy couples find out that the dating app that has matched them with each other has messed things up and done a mismatch?",U/A 13+,3,2018,Sangeeta Datta,"Ranjan Bose, Soumitra Chatterjee, Aparna Sen, Sharmila Tagore, Konkona Sen Sharma, Prosenjit Chatterjee, Jisshu Sengupta, Nandita Das, Arjun Rampal, Dorrothy Wenner, Kaushik Ganguly",101,"age hookup, breakup makeup, happens","age hookup, breakup","age, hookup,, breakup, makeup,, happens, happy, couples, dating, app, matched, messed, things, mismatch?"
